offer_accepted,average_balance,household_size,credit_cards_held,bank_accounts_open,own_your_home,homes_owned,income_level,credit_rating,profiles
No,776.50,4,2,1,No,1,High,Low,"Non classifiable"
Yes,786.50,4,2,1,No,2,Low,High,"Non classifiable"
No,114.25,5,3,1,Yes,1,Medium,High,"Non classifiable"
No,616.00,3,1,1,Yes,2,High,Low,"Non classifiable"
No,1813.25,5,3,1,Yes,1,Medium,Low,"Non classifiable"
No,1499.50,4,2,1,Yes,2,High,Low,"Non classifiable"
No,184.50,4,2,2,Yes,1,Medium,High,"Non classifiable"
No,267.50,4,3,1,Yes,1,Medium,High,"Non classifiable"
No,1155.25,4,1,1,No,1,High,Low,"Non classifiable"
No,688.50,3,1,2,No,1,Low,High,"Non classifiable"
No,1080.50,2,2,1,Yes,1,High,Low,"Non classifiable"
No,1160.50,2,1,1,No,1,High,Low,"Non classifiable"
No,982.25,5,2,1,Yes,2,High,Low,"Non classifiable"
No,1565.00,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1265.50,2,1,1,Yes,1,High,Low,"Non classifiable"
No,197.00,5,3,2,Yes,1,High,Medium,"Non classifiable"
No,699.50,6,2,2,Yes,2,Low,High,"Non classifiable"
No,1128.25,2,3,1,No,1,Low,High,"Non classifiable"
No,1134.00,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1025.75,2,1,2,Yes,1,High,Low,"Non classifiable"
Yes,1023.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,1107.25,3,2,2,Yes,1,Low,High,"Non classifiable"
No,850.50,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1159.50,5,2,1,No,1,High,Low,"Non classifiable"
No,1221.75,4,1,2,No,2,Low,High,"Non classifiable"
No,1006.50,3,2,2,Yes,1,Low,High,"Non classifiable"
No,1065.00,3,1,1,Yes,1,Low,High,"Non classifiable"
No,1071.00,2,3,1,No,1,High,Low,"Non classifiable"
No,293.25,3,2,2,No,1,High,Medium,"Non classifiable"
No,1844.25,2,1,2,Yes,2,Medium,Low,"Non classifiable"
No,1169.75,3,1,1,Yes,1,Low,High,"Non classifiable"
No,922.25,4,1,1,Yes,2,Low,High,"Non classifiable"
No,719.25,3,1,1,No,1,High,Low,"Non classifiable"
No,1402.25,5,2,1,Yes,3,High,Low,"Non classifiable"
No,821.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1056.00,5,2,1,No,1,Low,High,"Non classifiable"
No,660.00,2,3,1,Yes,1,Low,High,"Non classifiable"
No,858.00,4,2,2,Yes,1,Low,High,"Non classifiable"
No,723.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,658.50,6,2,1,No,1,High,Low,"Non classifiable"
No,1160.50,3,1,1,Yes,1,High,Low,"Non classifiable"
No,673.00,3,2,1,No,1,High,Low,"Non classifiable"
No,984.00,4,1,1,Yes,1,Low,High,"Non classifiable"
No,844.25,4,1,1,No,1,Low,High,"Non classifiable"
No,276.50,3,2,1,No,1,High,Medium,"Non classifiable"
No,1127.00,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1695.00,4,2,1,Yes,1,Medium,Low,"Non classifiable"
No,1104.25,2,2,1,No,1,Low,High,"Non classifiable"
No,1022.75,2,2,1,Yes,1,High,Low,"Non classifiable"
No,1020.00,5,2,1,Yes,1,High,Low,"Non classifiable"
No,338.50,3,1,1,Yes,2,Medium,High,"Non classifiable"
No,937.00,2,2,1,No,1,High,Low,"Non classifiable"
No,1076.75,4,3,1,No,1,Low,High,"Non classifiable"
No,202.50,2,1,1,Yes,1,High,Medium,"Non classifiable"
No,773.25,3,2,1,Yes,1,High,Low,"Non classifiable"
No,185.50,5,1,1,Yes,1,Medium,High,"Non classifiable"
No,115.00,4,1,1,Yes,1,High,Medium,"Non classifiable"
No,1183.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1378.75,4,1,1,No,1,High,Low,"Non classifiable"
No,1342.75,5,1,1,Yes,1,High,Low,"Non classifiable"
No,1196.75,5,2,1,Yes,2,Low,High,"Non classifiable"
No,1169.00,5,3,1,No,1,Low,High,"Non classifiable"
No,1199.50,5,2,1,Yes,1,High,Low,"Non classifiable"
No,267.50,4,3,2,No,1,Medium,High,"Non classifiable"
No,992.75,2,1,1,No,1,High,Low,"Non classifiable"
No,1073.75,5,1,1,Yes,3,Low,High,"Non classifiable"
No,1718.25,3,1,2,Yes,1,Medium,Low,"Non classifiable"
No,268.00,3,2,2,Yes,1,High,Medium,"Non classifiable"
No,1396.00,3,2,2,Yes,1,Low,High,"Non classifiable"
No,927.00,5,2,2,No,1,Low,High,"Non classifiable"
No,1241.25,3,4,2,No,1,Low,High,"Non classifiable"
No,1066.00,4,3,1,No,1,Low,High,"Non classifiable"
No,1239.25,4,2,1,Yes,2,High,Low,"Non classifiable"
No,1356.00,3,4,1,No,1,Low,High,"Non classifiable"
No,1176.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1073.00,4,1,1,Yes,2,Low,High,"Non classifiable"
No,860.00,2,1,1,No,2,High,Low,"Non classifiable"
No,1032.75,3,1,2,Yes,1,Low,High,"Non classifiable"
Yes,1177.75,3,4,2,No,1,High,Low,"Non classifiable"
No,278.50,5,2,2,Yes,1,Medium,High,"Non classifiable"
No,1691.00,5,1,2,No,1,Medium,Low,"Non classifiable"
No,1248.50,5,2,2,No,2,High,Low,"Non classifiable"
No,750.50,3,3,1,No,1,High,Low,"Non classifiable"
No,1074.75,2,1,1,Yes,1,Low,High,"Non classifiable"
No,1064.25,3,1,2,Yes,1,Low,High,"Non classifiable"
No,1148.75,2,1,1,Yes,1,Low,High,"Non classifiable"
No,826.00,5,3,1,No,1,High,Low,"Non classifiable"
No,676.75,3,3,1,No,1,Low,High,"Non classifiable"
No,888.75,4,3,1,No,2,Low,High,"Non classifiable"
No,196.75,2,1,1,No,2,Medium,High,"Non classifiable"
No,896.50,3,1,2,Yes,2,Low,High,"Non classifiable"
No,1010.00,5,2,1,Yes,2,Low,High,"Non classifiable"
No,1193.75,3,2,1,No,1,Low,High,"Non classifiable"
No,949.75,2,3,1,Yes,2,Low,High,"Non classifiable"
No,714.25,2,1,1,Yes,1,High,Low,"Non classifiable"
No,1030.00,2,2,1,No,1,Low,High,"Non classifiable"
No,326.00,3,2,1,No,1,Medium,High,"Non classifiable"
No,904.75,3,1,1,No,2,High,Low,"Non classifiable"
No,1214.00,3,1,2,Yes,1,High,Low,"Non classifiable"
No,865.00,3,2,2,Yes,1,High,Low,"Non classifiable"
No,1118.00,2,1,1,No,1,Low,High,"Non classifiable"
No,1167.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,1112.75,4,3,1,No,1,High,Low,"Non classifiable"
No,691.25,4,2,1,Yes,1,Low,High,"Non classifiable"
No,186.50,4,3,2,Yes,1,High,Medium,"Non classifiable"
No,1327.25,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1061.25,4,2,1,No,1,Low,High,"Non classifiable"
No,183.00,5,3,1,No,1,Medium,High,"Non classifiable"
No,1005.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,915.50,5,1,1,No,1,Low,High,"Non classifiable"
No,1067.25,4,1,2,Yes,1,High,Low,"Non classifiable"
No,1823.25,3,1,1,No,1,Low,Medium,"Non classifiable"
No,1011.50,4,1,1,No,1,High,Low,"Non classifiable"
No,797.00,4,2,1,Yes,2,Low,High,"Non classifiable"
No,1759.25,3,2,1,Yes,1,Medium,Low,"Non classifiable"
Yes,1122.25,3,2,2,No,1,Low,High,"Non classifiable"
Yes,899.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,1831.50,6,2,1,Yes,1,Medium,Low,"Non classifiable"
No,1004.50,3,1,1,Yes,1,Low,High,"Non classifiable"
No,871.75,2,2,1,Yes,1,Low,High,"Non classifiable"
No,1164.50,4,3,1,Yes,1,High,Low,"Non classifiable"
No,715.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,117.00,4,2,2,No,1,High,Medium,"Non classifiable"
No,719.00,3,2,1,Yes,2,Low,High,"Non classifiable"
No,1391.50,4,1,1,No,1,Low,High,"Non classifiable"
No,1771.00,4,2,1,Yes,2,Medium,Low,"Non classifiable"
No,211.00,4,2,1,Yes,1,Medium,High,"Non classifiable"
No,1124.50,3,2,1,No,1,Low,High,"Non classifiable"
No,695.00,3,2,1,Yes,2,High,Low,"Non classifiable"
No,1115.00,4,1,1,No,1,Low,High,"Non classifiable"
No,816.50,4,3,1,No,3,High,Low,"Non classifiable"
No,747.25,2,2,1,No,1,High,Low,"Non classifiable"
No,291.25,4,3,1,No,1,Medium,High,"Non classifiable"
No,1279.25,5,2,2,Yes,1,High,Low,"Non classifiable"
No,1385.00,5,3,1,Yes,1,Low,High,"Non classifiable"
No,1710.25,5,3,1,Yes,1,Low,Medium,"Non classifiable"
No,770.50,5,1,1,No,1,Low,High,"Non classifiable"
No,905.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,863.00,2,2,1,Yes,1,Low,High,"Non classifiable"
No,1276.00,5,1,1,Yes,2,Low,High,"Non classifiable"
No,1259.75,3,1,1,No,1,High,Low,"Non classifiable"
No,1040.25,3,1,1,No,2,Low,High,"Non classifiable"
No,1792.50,5,3,1,No,2,Medium,Low,"Non classifiable"
No,1396.00,3,2,1,No,2,High,Low,"Non classifiable"
No,1003.50,5,2,1,Yes,1,Low,High,"Non classifiable"
No,288.50,4,1,1,No,1,Medium,High,"Non classifiable"
No,1299.00,5,1,1,Yes,1,Low,High,"Non classifiable"
No,1123.50,3,2,2,Yes,2,Low,High,"Non classifiable"
No,285.25,4,2,1,Yes,1,Medium,High,"Non classifiable"
No,283.00,4,1,1,No,1,High,Medium,"Non classifiable"
No,845.50,2,3,2,No,1,Low,High,"Non classifiable"
No,317.75,3,2,2,No,1,High,Medium,"Non classifiable"
No,763.00,2,2,1,Yes,2,High,Low,"Non classifiable"
No,1255.00,3,2,2,Yes,1,High,Low,"Non classifiable"
No,1087.75,3,2,1,No,1,Low,High,"Non classifiable"
No,288.25,5,2,1,No,1,Medium,High,"Non classifiable"
No,1048.00,3,2,2,Yes,1,Low,High,"Non classifiable"
No,1087.25,4,2,1,No,1,High,Low,"Non classifiable"
No,381.50,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,850.50,3,3,1,Yes,1,High,Low,"Non classifiable"
No,335.75,3,1,1,Yes,1,Medium,High,"Non classifiable"
No,1379.25,5,2,1,Yes,2,Low,High,"Non classifiable"
No,957.50,2,2,1,Yes,2,High,Low,"Non classifiable"
No,918.25,2,2,2,Yes,1,High,Low,"Non classifiable"
Yes,977.25,2,2,1,No,1,High,Low,"Non classifiable"
No,1177.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,262.75,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,1056.25,2,2,1,Yes,1,Low,High,"Non classifiable"
No,770.00,4,2,2,Yes,1,High,Low,"Non classifiable"
No,1020.00,4,1,1,No,1,Low,High,"Non classifiable"
No,337.00,3,1,1,No,1,Medium,High,"Non classifiable"
No,985.25,3,3,1,Yes,1,Low,High,"Non classifiable"
No,791.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1099.00,3,2,1,No,1,High,Low,"Non classifiable"
Yes,1221.75,4,2,1,Yes,2,Low,High,"Non classifiable"
No,1152.50,5,1,1,Yes,1,High,Low,"Non classifiable"
No,1482.00,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1116.25,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1150.75,3,2,1,Yes,2,Low,High,"Non classifiable"
No,1090.75,3,2,1,Yes,1,Low,High,"Non classifiable"
No,1116.25,3,3,2,Yes,1,Low,High,"Non classifiable"
No,114.75,4,3,1,Yes,1,Medium,High,"Non classifiable"
No,123.25,3,3,1,Yes,1,High,Medium,"Non classifiable"
No,684.75,3,1,2,Yes,1,High,Low,"Non classifiable"
No,1063.00,3,2,1,Yes,2,Low,High,"Non classifiable"
No,999.25,4,2,2,Yes,1,High,Low,"Non classifiable"
No,1089.25,2,3,1,Yes,1,High,Low,"Non classifiable"
No,1036.00,4,2,2,Yes,1,High,Low,"Non classifiable"
No,1123.75,4,3,1,Yes,2,High,Low,"Non classifiable"
No,1341.75,4,2,1,No,1,Low,High,"Non classifiable"
No,1267.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,296.25,5,1,3,Yes,1,Medium,High,"Non classifiable"
No,314.50,5,1,1,No,2,Medium,High,"Non classifiable"
No,990.75,2,3,1,Yes,1,Low,High,"Non classifiable"
No,204.50,3,1,1,No,2,Medium,High,"Non classifiable"
No,1024.75,4,1,1,Yes,2,High,Low,"Non classifiable"
No,694.00,4,1,1,Yes,1,Low,High,"Non classifiable"
No,984.00,3,1,2,Yes,2,Low,High,"Non classifiable"
No,722.25,5,2,1,No,2,Low,High,"Non classifiable"
No,1613.50,5,2,1,Yes,1,Medium,Low,"Non classifiable"
No,340.25,3,2,2,No,1,Medium,High,"Non classifiable"
No,240.50,5,2,3,Yes,1,Medium,High,"Non classifiable"
No,722.25,5,1,1,No,1,High,Low,"Non classifiable"
No,1224.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,1335.00,5,2,1,Yes,1,High,Low,"Non classifiable"
No,1015.25,5,3,1,No,1,Low,High,"Non classifiable"
No,219.25,4,3,1,Yes,1,Medium,High,"Non classifiable"
No,277.50,4,2,2,Yes,1,Medium,High,"Non classifiable"
No,945.50,5,3,1,Yes,1,Low,High,"Non classifiable"
No,1139.00,4,1,1,No,2,High,Low,"Non classifiable"
No,918.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1026.00,2,2,2,Yes,1,Low,High,"Non classifiable"
No,261.75,5,2,1,No,1,Medium,High,"Non classifiable"
Yes,1109.00,4,1,1,Yes,1,High,Low,"Non classifiable"
No,928.75,2,1,1,Yes,1,High,Low,"Non classifiable"
No,893.50,4,2,1,Yes,1,Low,High,"Non classifiable"
No,977.75,4,2,1,No,1,Low,High,"Non classifiable"
No,131.50,3,2,1,No,1,High,Medium,"Non classifiable"
No,738.25,3,2,1,No,2,Low,High,"Non classifiable"
No,1097.25,4,3,1,No,1,High,Low,"Non classifiable"
No,1106.75,5,2,1,No,1,Low,High,"Non classifiable"
No,1459.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,880.00,4,1,2,No,1,Low,High,"Non classifiable"
No,867.00,4,2,1,Yes,2,High,Low,"Non classifiable"
No,691.00,3,1,1,No,1,Low,High,"Non classifiable"
No,967.50,3,1,2,Yes,1,High,Low,"Non classifiable"
No,228.25,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,194.00,3,3,2,Yes,1,Medium,High,"Non classifiable"
No,1193.75,2,2,1,Yes,2,High,Low,"Non classifiable"
No,700.50,3,3,1,Yes,1,High,Low,"Non classifiable"
No,701.50,6,3,1,No,1,Low,High,"Non classifiable"
Yes,865.75,5,2,2,Yes,2,High,Low,"Non classifiable"
No,885.00,3,3,1,No,1,High,Low,"Non classifiable"
No,1070.75,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1096.75,2,2,1,No,2,Low,High,"Non classifiable"
No,937.75,5,2,1,Yes,1,Low,High,"Non classifiable"
No,1035.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1045.00,3,1,1,No,2,Low,High,"Non classifiable"
No,948.25,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1069.50,4,3,1,No,1,Low,High,"Non classifiable"
No,1228.75,3,2,2,No,2,High,Low,"Non classifiable"
No,217.00,5,2,1,No,1,Medium,High,"Non classifiable"
No,173.25,4,1,1,Yes,1,Medium,High,"Non classifiable"
No,1333.75,4,2,1,No,1,High,Low,"Non classifiable"
No,1142.75,2,2,1,No,1,High,Low,"Non classifiable"
No,153.50,4,3,1,Yes,1,High,Medium,"Non classifiable"
No,1105.25,4,2,1,No,1,High,Low,"Non classifiable"
No,335.50,5,2,1,Yes,1,Medium,High,"Non classifiable"
No,1211.00,4,4,2,Yes,1,Low,High,"Non classifiable"
No,1042.75,3,3,1,Yes,1,High,Low,"Non classifiable"
No,1756.75,4,1,3,No,1,Medium,Low,"Non classifiable"
No,982.50,4,2,1,Yes,1,Low,High,"Non classifiable"
No,914.25,5,1,2,No,1,High,Low,"Non classifiable"
No,250.25,3,2,1,No,1,Medium,High,"Non classifiable"
No,990.50,3,1,1,No,1,Low,High,"Non classifiable"
No,823.25,4,2,2,Yes,1,Low,High,"Non classifiable"
No,987.00,4,1,1,No,1,Low,High,"Non classifiable"
No,1147.00,4,1,2,Yes,1,Low,High,"Non classifiable"
No,888.00,4,1,1,No,1,Low,High,"Non classifiable"
No,1223.25,3,1,1,Yes,2,High,Low,"Non classifiable"
No,1226.00,2,2,2,No,1,High,Low,"Non classifiable"
No,895.00,5,2,1,No,2,Low,High,"Non classifiable"
No,1266.50,4,2,1,No,2,Low,High,"Non classifiable"
No,1070.75,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1261.25,4,3,1,Yes,1,Low,High,"Non classifiable"
No,939.50,4,2,1,Yes,1,High,Low,"Non classifiable"
No,679.25,3,2,1,No,1,Low,High,"Non classifiable"
No,374.75,3,1,1,No,1,Medium,High,"Non classifiable"
No,899.75,3,3,1,No,1,Low,High,"Non classifiable"
No,1093.00,2,2,1,Yes,1,Low,High,"Non classifiable"
No,322.25,4,2,2,No,1,High,Medium,"Non classifiable"
No,1048.25,3,2,2,Yes,2,High,Low,"Non classifiable"
Yes,921.25,3,1,1,No,1,Low,High,"Non classifiable"
No,227.00,6,3,2,Yes,1,Medium,High,"Non classifiable"
No,875.50,3,1,1,No,1,High,Low,"Non classifiable"
No,1263.75,2,2,2,No,1,High,Low,"Non classifiable"
No,1659.25,5,1,1,Yes,3,Medium,Low,"Non classifiable"
No,211.75,2,2,2,Yes,1,Medium,High,"Non classifiable"
No,909.75,4,1,1,Yes,1,Low,High,"Non classifiable"
No,955.75,4,3,2,Yes,1,High,Low,"Non classifiable"
No,1104.00,3,2,1,No,2,Low,High,"Non classifiable"
No,277.75,4,1,1,Yes,1,High,Medium,"Non classifiable"
No,1099.75,6,3,2,Yes,2,High,Low,"Non classifiable"
No,1110.50,3,1,1,Yes,2,Low,High,"Non classifiable"
No,1404.50,4,1,1,Yes,2,High,Low,"Non classifiable"
No,840.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,117.75,2,1,1,No,1,Medium,High,"Non classifiable"
No,870.00,2,3,1,Yes,2,Low,High,"Non classifiable"
No,952.25,3,1,1,Yes,1,Low,High,"Non classifiable"
No,958.25,5,1,2,Yes,1,High,Low,"Non classifiable"
No,1394.50,2,4,1,Yes,1,High,Low,"Non classifiable"
No,141.50,5,1,1,Yes,1,Medium,High,"Non classifiable"
No,156.25,5,2,2,Yes,1,Medium,High,"Non classifiable"
No,223.00,3,2,1,No,1,Medium,High,"Non classifiable"
No,288.25,2,1,1,No,1,High,Medium,"Non classifiable"
No,234.50,4,1,1,Yes,1,High,Medium,"Non classifiable"
No,1560.00,3,1,1,Yes,1,Low,High,"Non classifiable"
No,1255.00,1,2,1,Yes,1,Low,High,"Non classifiable"
No,1054.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,1015.75,5,2,1,No,2,Low,High,"Non classifiable"
No,784.75,4,1,1,Yes,1,High,Low,"Non classifiable"
No,1234.50,3,2,1,Yes,2,Low,High,"Non classifiable"
No,902.25,3,1,1,No,1,High,Low,"Non classifiable"
No,297.25,2,2,1,Yes,1,High,Medium,"Non classifiable"
No,1257.50,4,2,2,Yes,1,Low,High,"Non classifiable"
No,903.50,4,4,1,Yes,1,High,Low,"Non classifiable"
No,1119.50,2,4,1,No,2,Low,High,"Non classifiable"
No,1000.00,3,1,1,Yes,2,High,Low,"Non classifiable"
No,994.25,4,1,1,Yes,1,Low,High,"Non classifiable"
No,322.00,3,2,1,No,1,Medium,High,"Non classifiable"
No,285.50,3,1,1,Yes,1,High,Medium,"Non classifiable"
No,746.75,3,2,1,Yes,1,Low,High,"Non classifiable"
No,744.75,5,1,1,Yes,1,Low,High,"Non classifiable"
No,871.00,4,2,1,Yes,2,Low,High,"Non classifiable"
Yes,1626.75,5,3,1,Yes,2,Low,Medium,"Non classifiable"
No,155.75,5,1,2,Yes,1,Medium,High,"Non classifiable"
No,294.75,2,1,1,Yes,1,High,Medium,"Non classifiable"
No,932.75,4,1,2,Yes,1,Low,High,"Non classifiable"
Yes,979.75,2,1,1,No,2,Low,High,"Non classifiable"
No,1044.75,3,3,2,Yes,1,High,Low,"Non classifiable"
No,224.75,5,1,1,No,1,High,Medium,"Non classifiable"
No,1042.00,2,3,1,Yes,1,High,Low,"Non classifiable"
No,712.25,5,4,1,Yes,1,High,Low,"Non classifiable"
No,1423.25,4,2,1,No,2,Low,High,"Non classifiable"
No,688.50,4,1,1,Yes,1,High,Low,"Non classifiable"
No,733.00,2,2,1,No,1,High,Low,"Non classifiable"
No,896.25,4,1,1,Yes,1,Low,High,"Non classifiable"
No,230.00,2,1,1,Yes,1,Medium,High,"Non classifiable"
No,1740.50,2,1,2,Yes,1,Low,Medium,"Non classifiable"
No,1045.25,3,2,1,No,1,High,Low,"Non classifiable"
No,1087.25,3,3,1,No,2,Low,High,"Non classifiable"
No,1176.50,1,2,1,Yes,1,Low,High,"Non classifiable"
No,936.00,5,2,1,No,1,High,Low,"Non classifiable"
No,711.75,3,2,2,Yes,1,Low,High,"Non classifiable"
No,1057.00,2,3,1,No,1,High,Low,"Non classifiable"
No,727.75,4,1,1,No,2,Low,High,"Non classifiable"
No,1304.75,4,2,1,No,2,Low,High,"Non classifiable"
No,860.25,3,1,1,Yes,1,Low,High,"Non classifiable"
No,1071.75,4,3,2,No,1,High,Low,"Non classifiable"
No,692.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,931.00,3,3,1,Yes,1,High,Low,"Non classifiable"
No,285.00,2,3,2,Yes,1,Medium,High,"Non classifiable"
No,1050.75,4,1,1,No,1,Low,High,"Non classifiable"
No,1454.50,5,2,3,Yes,1,High,Low,"Non classifiable"
No,983.50,2,3,1,Yes,2,Low,High,"Non classifiable"
No,1833.25,4,3,1,Yes,1,Medium,Low,"Non classifiable"
No,1100.00,4,1,1,No,1,Low,High,"Non classifiable"
No,1060.75,3,1,1,No,1,Low,High,"Non classifiable"
No,1075.00,5,1,1,Yes,2,Low,High,"Non classifiable"
No,765.50,4,1,1,Yes,1,Low,High,"Non classifiable"
No,1073.00,5,1,1,No,1,Low,High,"Non classifiable"
No,1243.75,3,2,2,Yes,1,High,Low,"Non classifiable"
No,968.00,4,1,3,Yes,1,High,Low,"Non classifiable"
No,687.25,2,2,1,Yes,1,High,Low,"Non classifiable"
No,1235.50,2,2,1,No,1,Low,High,"Non classifiable"
No,1208.50,5,2,1,Yes,1,Low,High,"Non classifiable"
No,1100.50,3,2,1,Yes,1,High,Low,"Non classifiable"
No,1064.50,5,1,2,No,1,High,Low,"Non classifiable"
Yes,1215.50,3,1,2,Yes,1,High,Low,"Non classifiable"
No,914.75,5,1,1,No,1,High,Low,"Non classifiable"
No,880.75,6,4,1,Yes,1,High,Low,"Non classifiable"
No,1037.50,3,1,1,Yes,1,High,Low,"Non classifiable"
No,1036.25,2,2,1,Yes,1,Low,High,"Non classifiable"
No,298.75,5,1,1,Yes,1,Medium,High,"Non classifiable"
Yes,1262.25,4,3,1,Yes,1,Low,High,"Non classifiable"
No,1149.00,3,2,1,No,2,High,Low,"Non classifiable"
No,973.75,5,1,1,Yes,2,Low,High,"Non classifiable"
No,1729.50,2,1,1,No,1,Medium,Low,"Non classifiable"
No,966.75,2,2,2,Yes,2,High,Low,"Non classifiable"
No,206.25,3,2,1,Yes,1,High,Medium,"Non classifiable"
No,307.25,4,2,3,No,2,Medium,High,"Non classifiable"
No,953.50,2,2,1,Yes,1,Low,High,"Non classifiable"
No,615.50,4,2,1,Yes,2,Low,High,"Non classifiable"
Yes,666.50,5,3,1,Yes,1,High,Low,"Non classifiable"
No,1001.25,2,3,1,Yes,1,Low,High,"Non classifiable"
No,1077.00,5,2,2,No,1,Low,High,"Non classifiable"
No,1050.50,3,1,1,Yes,1,Low,High,"Non classifiable"
No,297.50,4,3,2,Yes,1,Medium,High,"Non classifiable"
No,1044.25,2,2,2,Yes,1,Low,High,"Non classifiable"
No,1025.75,4,2,1,Yes,1,High,Low,"Non classifiable"
No,996.00,3,2,1,No,1,Low,High,"Non classifiable"
No,1686.25,4,2,1,Yes,1,Medium,Low,"Non classifiable"
No,334.00,3,1,2,No,1,Medium,High,"Non classifiable"
No,261.25,3,2,1,Yes,1,Medium,High,"Non classifiable"
No,1015.25,4,2,1,No,1,Low,High,"Non classifiable"
No,177.00,5,1,1,Yes,1,High,Medium,"Non classifiable"
No,979.25,4,3,1,Yes,1,High,Low,"Non classifiable"
No,711.25,3,4,1,Yes,1,High,Low,"Non classifiable"
No,919.25,2,2,1,No,1,High,Low,"Non classifiable"
No,868.25,4,1,2,No,1,Low,High,"Non classifiable"
No,984.75,4,2,1,Yes,1,Low,High,"Non classifiable"
No,1119.25,5,1,1,Yes,1,High,Low,"Non classifiable"
No,919.50,2,1,1,Yes,1,Low,High,"Non classifiable"
No,950.75,3,2,2,Yes,2,Low,High,"Non classifiable"
No,925.00,3,2,1,Yes,1,Low,High,"Non classifiable"
No,887.50,6,3,1,Yes,1,High,Low,"Non classifiable"
No,252.50,2,2,1,Yes,1,Medium,High,"Non classifiable"
No,962.75,4,1,1,No,1,Low,High,"Non classifiable"
